Country,Confirmed,Deaths,Recovered,Active,New_cases
Liechtenstein,86,1,81,4,0
Lithuania,2019,80,1620,319,11
Luxembourg,6321,112,4825,1384,49
Madagascar,9690,91,6260,3339,395
Malawi,3664,99,1645,1920,24
Malaysia,8904,124,8601,179,7
Maldives,3369,15,2547,807,67
Mali,2513,124,1913,476,3
Malta,701,9,665,27,1
Mauritania,6208,156,4653,1399,37
Mauritius,344,10,332,2,0
Mexico,395489,44022,303810,47657,4973
Moldova,23154,748,16154,6252,120
Monaco,116,4,104,8,0
Mongolia,289,0,222,67,1
Montenegro,2893,45,809,2039,94
Morocco,20887,316,16553,4018,609
Mozambique,1701,11,0,1690,32
Namibia,1843,8,101,1734,68
Nepal,18752,48,13754,4950,139
Netherlands,53413,6160,189,47064,419
New Zealand,1557,22,1514,21,1
Nicaragua,3439,108,2492,839,0
Niger,1132,69,1027,36,0
Nigeria,41180,860,18203,22117,648
North Macedonia,10213,466,5564,4183,127
Norway,9132,255,8752,125,15
Oman,77058,393,57028,19637,1053
Pakistan,274289,5842,241026,27421,1176
Panama,61442,1322,35086,25034,1146
Papua New Guinea,62,0,11,51,0
Paraguay,4548,43,2905,1600,104
Peru,389717,18418,272547,98752,13756
Philippines,82040,1945,26446,53649,1592
Poland,43402,1676,32856,8870,337
Portugal,50299,1719,35375,13205,135
Qatar,109597,165,106328,3104,29216
,5,684,0.68,85.52,0.8
,24,817,3.91,63.69,6.14
,0,0,0,95,0
,0,0,2.54,85.73,2.97
,0,17,1.31,44.02,2.98
,0,0,2.38,25.35,9.38
,0,5,6.17,55.36,11.15
,4,24,2.26,20.41,11.09
,0,0,1.16,94.19,1.23
,0,4,3.96,80.24,4.94
,0,178,1.77,76.33,2.32
,6,681,0.94,64.6,1.45
,0,6,2.7,44.9,6.02
,0,1,1.39,96.6,1.44
,0,19,0.45,75.6,0.59
,1,2,4.93,76.12,6.48
,0,0,1.28,94.86,1.35
,0,223,2.51,74.95,3.35
,0,0,2.91,96.51,3.01
,342,8588,11.13,76.82,14.49
,13,245,3.23,69.77,4.63
,0,0,3.45,89.66,3.85
,0,4,0,76.82,0
,2,70,1.56,27.96,5.56
,3,115,1.51,79.25,1.91
,0,0,0.65,0,inf
,0,26,0.43,5.48,7.92
,3,626,0.26,73.35,0.35
,1,0,11.53,0.35,3259.26
,0,1,1.41,97.24,1.45
,0,0,3.14,72.46,4.33
,0,0,6.1,90.72,6.72
,2,829,2.09,44.2,4.72
,6,137,4.56,54.48,8.38
,0,0,2.79,95.84,2.91
,9,1729,0.51,74.01,0.69
,20,3592,2.13,87.87,2.42
,28,955,2.15,57.1,3.77
,0,0,0,17.74,0
,2,111,0.95,63.87,1.48
,575,4697,4.73,69.93,6.76
,13,336,2.37,32.24,7.35
,5,103,3.86,75.7,5.1
,2,158,3.42,70.33,4.86
,0,304,0.15,97.02,0.16
,2560,2.39,Eastern,MediterraneanRomania,45902
Russia,816680,13334,602249,201097,5607
Rwanda,1879,5,975,899,58
Saint Kitts and Nevis,17,0,15,2,0
Saint Lucia,24,0,22,2,0
San Marino,699,42,657,0,0
Sao Tome and Principe,865,14,734,117,2
Saudi Arabia,268934,2760,222936,43238,1993
Senegal,9764,194,6477,3093,83
Serbia,24141,543,0,23598,411
Seychelles,114,0,39,75,0
Sierra Leone,1783,66,1317,400,0
Singapore,50838,27,45692,5119,469
Slovakia,2181,28,1616,537,2
Slovenia,2087,116,1733,238,5
Somalia,3196,93,1543,1560,18
South Africa,452529,7067,274925,170537,7096
South Korea,14203,300,13007,896,28
South Sudan,2305,46,1175,1084,43
Spain,272421,28432,150376,93613,0
Sri Lanka,2805,11,2121,673,23
Sudan,11424,720,5939,4765,39
Suriname,1483,24,925,534,44
Sweden,79395,5700,0,73695,398
Switzerland,34477,1978,30900,1599,65
Syria,674,40,0,634,24
Taiwan*,462,7,440,15,4
Tajikistan,7235,60,6028,1147,43
Tanzania,509,21,183,305,0
Thailand,3297,58,3111,128,6
Timor-Leste,24,0,0,24,0
Togo,874,18,607,249,6
Trinidad and Tobago,148,8,128,12,1
Tunisia,1455,50,1157,248,3
Turkey,227019,5630,210469,10920,919
US,4290259,148011,1325804,2816444,56336
Uganda,1128,2,986,140,13
Ukraine,67096,1636,37202,28258,835
United Arab Emirates,59177,345,52510,6322,264
United Kingdom,301708,45844,1437,254427,688
Uruguay,1202,35,951,216,10
Uzbekistan,21209,121,11674,9414,678
Venezuela,15988,146,9959,5883,525
Vietnam,431,0,365,66,11
West Bank and Gaza,10621,78,3752,6791,15219
,85,3077,1.63,73.74,2.21
,0,57,0.27,51.89,0.51
,0,0,0,88.24,0
,0,0,0,91.67,0
,0,0,0,75,0
,0,0,6.01,93.99,6.39
,0,38,1.62,84.86,1.91
,27,2613,1.03,82.9,1.24
,3,68,1.99,66.34,3
,9,0,2.25,0,inf
,0,0,0,34.21,0
,0,4,3.7,73.86,5.01
,0,171,0.05,89.88,0.06
,0,39,1.28,74.09,1.73
,0,55,5.56,83.04,6.69
,0,22,2.91,48.28,6.03
,298,9848,1.56,60.75,2.57
,1,102,2.11,91.58,2.31
,1,0,2,50.98,3.91
,0,0,10.44,55.2,18.91
,0,15,0.39,75.61,0.52
,3,49,6.3,51.99,12.12
,1,35,1.62,62.37,2.59
,3,0,7.18,0,inf
,1,200,5.74,89.62,6.4
,2,0,5.93,0,inf
,0,0,1.52,95.24,1.59
,1,58,0.83,83.32,1
,0,0,4.13,35.95,11.48
,0,2,1.76,94.36,1.86
,0,0,0,0,0
,0,8,2.06,69.45,2.97
,0,0,5.41,86.49,6.25
,0,15,3.44,79.52,4.32
,17,982,2.48,92.71,2.67
,1076,27941,3.45,30.9,11.16
,0,4,0.18,87.41,0.2
,11,317,2.44,55.45,4.4
,1,328,0.58,88.73,0.66
,7,3,15.19,0.48,3190.26
,1,3,2.91,79.12,3.68
,5,569,0.57,55.04,1.04
,4,213,0.91,62.29,1.47
,0,0,0,84.69,0
,2,0,0.73,35.33,2.08
,1705,19.12,Eastern,MediterraneanWestern,Sahara
Yemen,1691,483,833,375,10
Zambia,4552,140,2815,1597,71
Zimbabwe,2704,36,542,2126,1920
,4,36,28.56,49.26,57.98
,1,465,3.08,61.84,4.97
,2,24,1.33,20.04,6.64
